"TIME","GEO","INFOTYPE","COICOP","Value","Flag and Footnotes"
"2007","Switzerland","Annual average index","All-items HICP","101,8",""
"2008","Switzerland","Annual average index","All-items HICP","104,2",""
"2009","Switzerland","Annual average index","All-items HICP","103,4",""
"2010","Switzerland","Annual average index","All-items HICP","104,1",""
"2001","Croatia","Annual average index","All-items HICP","90,53","i"
"2002","Croatia","Annual average index","All-items HICP","92,83","i"
"2003","Croatia","Annual average index","All-items HICP","95,06","i"
"2004","Croatia","Annual average index","All-items HICP","97,09","i"
"2005","Croatia","Annual average index","All-items HICP","100,00","i"
"2006","Croatia","Annual average index","All-items HICP","103,29","i"
"2007","Croatia","Annual average index","All-items HICP","106,04","i"
"2008","Croatia","Annual average index","All-items HICP","112,19","i"
"2009","Croatia","Annual average index","All-items HICP","114,68","i"
"2010","Croatia","Annual average index","All-items HICP","115,93","i"
"2001","Turkey","Annual average index","All-items HICP","45,64","i"
"2002","Turkey","Annual average index","All-items HICP","67,07","i"
"2003","Turkey","Annual average index","All-items HICP","84,04","i"
"2004","Turkey","Annual average index","All-items HICP","92,48","i"
"2005","Turkey","Annual average index","All-items HICP","100,00","i"
"2006","Turkey","Annual average index","All-items HICP","109,28","i"
"2007","Turkey","Annual average index","All-items HICP","118,85","i"
"2008","Turkey","Annual average index","All-items HICP","131,26","i"
"2009","Turkey","Annual average index","All-items HICP","139,47","i"
"2010","Turkey","Annual average index","All-items HICP","151,43","i"
"2001","United States","Annual average index","All-items HICP","90,99",""
"2002","United States","Annual average index","All-items HICP","91,79",""
"2003","United States","Annual average index","All-items HICP","93,88",""
"2004","United States","Annual average index","All-items HICP","96,43",""
